"HolderAddress","Balance","PendingBalanceUpdate"
"0x003e36550908907c2a2da960fd19a419b9a774b7","8700","No"
"0x00406f6395b83bb984711109b419a4bec3098633","200","No"
"0x00415ccbfd603f9f1fb2547e0501e6f316bd684b","41.1978099919243","No"
"0x004263ea8b4cc7592fc93ac28f8885324485ebdc","0.232671755643214","No"
"0x00429c6b4d05a946454265542d6466c39cdf77f3","100","No"
"0x00438b390be253ae5a1f0e3b0d5dfe18a37e9476","102.14629695","No"
"0x0044f0ab1281b2bc850bfa39123dec1e8e09001d","200","No"
"0x0045fa93dedb0af02956f7d7c306b34263688872","200","No"
"0x0047032de92865c994d586e7c8c2fde8ebcac292","526.13141560526","No"
"0x004892bd5d01874e5b4c270d78f4f8b7780197df","100","No"
"0x0048d77cd53479c2e9594d55f058a224041c11ce","200","No"
"0x0049271e504852ef8dc2c807d18544efdaafda4c","99","No"
"0x004ad68eac8b488e7ea589f0bd2c72dd833c8ff2","350","No"
"0x004af51612056e0b51b2b356b5c34054e75c9126","101","No"
"0x004afb002e3fb33c833fc16b6b63103bbf97312d","200","No"
"0x004c7f45a2cee4336a07480fc8fa78c101c10409","6139.58315588908","No"
"0x004d639573adecab3bc64218625039d792658192","250","No"
"0x004e13291c270a5be95180307c5468c163e2defd","0.0140891055406459","No"
"0x004e1f2147605ea049efb17836ca50476110d4ac","750","No"
"0x004ea593bce072898257187fcf647050c16d3ebb","200","No"
"0x005223d7d4653f83c4ebf6c555a0e2247a866cb8","200","No"
"0x005432f2cb90bebffe2ba0880054d6d4b20ee632","100","No"
"0x00559a2c214a254bf8f4df82aa17095aee5adcfe","200","No"
"0x005928c168745fa19dac1f33b54d1e2e691b821f","60","No"
"0x005a3f63028d7a67b44d9a3ad48502cc8be2799a","100","No"
"0x005a6d285b1704e56b575dba8a15123c05eca01a","750","No"
"0x005b0743d8b2ed646499dc48b64b95e71b8afa43","200","No"
"0x005daa7781f6c9aa2e72e5c19d2cad56a747dc9b","850","No"
"0x005e5cac6eb7637edf689403e01b86bda451ef61","200","No"
"0x00600737ee701ed800c8e4e7665ca0583b151cb2","200","No"
"0x00610d1b203f9ddf2776d8729b0de854f5dce8ed","200","No"
"0x0065229cf100a50b5eeafa09941221d7093dad1d","200","No"
"0x0066c54224f9da82218409447b55ffed44c8577b","200","No"
"0x006922cf75094708c691d06818034d89aeb23ca0","200","No"
"0x006c0db9009c472616f6cbba48a47fe8de8676e1","990.876609510354","No"
"0x006c6eded9b5c62ea62f28061f499648ce6886f4","14.5377096352686","No"
"0x006c70bb4f90eb486eec31cc8137f88239dd4d0e","200","No"
"0x006df2afaafd3df1e601c9561e5a3f6ba333fd8d","183767.83794236","No"
"0x006e3f073a06d673a62aa9ff2d807f3c9e360192","30.21705676","No"
"0x006f24f3fd93b7a19ab3c98d368b95df049bf9d2","200","No"
"0x006f36badfa0a603fae420b020d6f5e23ae815ae","100","No"
"0x0072f1aad704e9d5d2b5314a7b0cf597746a26f4","100","No"
"0x0073e98d5da0c1548c272756e938e36b17e1c6c5","100","No"
"0x0074dfc93f21c00e089899a78ea18da7b79d9b87","100","No"
"0x007676790a559b38edf04077fddebe710ffdb6f3","100","No"
"0x007719de6639f26e9cd52b13a1df452a8a307a7a","350","No"
"0x0078a065acd628dd1e77902067475fac33d0c364","60","No"
"0x007933790a4f00000099e9001629d9fe7775b800","0.0002","No"
"0x007a4b5375076c6326c38e482341fb2a5a9ee839","100","No"
"0x007a65795aea058d7b7e8d33c6e954f8bac533cb","200","No"
"0x007a793c476aa68c5331eeba9d15fb37f2fbe43a","100","No"
"0x007af5bdc067452ce99bfff3f2648d1dee3fc1d4","100","No"
"0x007b543a54fcc8fc318863a96442d5e0783b949a","1207.66535366","No"
"0x007c96f90d4c0c3d0223777e6075e0e80e6ff293","100","No"
"0x007de78446d2a4feec17803266cfd43f87737809","83.2840000349579","No"
"0x007ed64ac2fe49e1bcb932151e72de0ca813ecf8","355.50313612404","No"
"0x007f7735baf391e207e3aa380bb53c4bd9a5fed6","3044895.11492952","No"
"0x007f77b53ed0f058616335bc040cd326e125dae0","1394.71182975778","No"
"0x007ff3589ff0c3bea5f37536d50e76ead0381baf","9.87073613617575","No"
"0x00806578b4b54d41224cfb1568efb331dd74e25f","200","No"
"0x00812a8d69db638e6c0df726c5ee13703f59a4b7","103.07472024","No"
"0x008248fa4911aaa5e36495c5a2c7d4bb3fd68cad","100","No"
"0x0083dcc7fe3434248fac82cdccce9f9590734949","10","No"
"0x00851e1307beec160567f587c2ae6594a389099d","180","No"
"0x008573d68fa08db326d0251c40014490e846ccf3","200","No"
"0x00864aec828ac7f43360629160c7f8fa0f57b381","99","No"
"0x0087d814d8d4b4a8ec168af42434caac900cc759","100","No"
"0x0087f38094feef36496ab6d5b9ea70066c6779cc","810","No"
"0x0088fe7c3ff286a12144a1cedebc94a0bce5eef2","10","No"
"0x008910cd236575641c3a5895242bfc44732df441","100.16767697","No"
"0x00896401a0175380423a632e0813be1cb72b781e","20","No"
"0x008b3b2f992c0e14edaa6e2c662bec549caa8df1","200","No"
"0x008ca404571f1b5a2ddd817e85001b9476ebe9a1","200","No"
"0x008ca4f1ba79d1a265617c6206d7884ee8108a78","34.0304805513372","No"
"0x008ce6ebaeaa39f5af9fe5cbbec764923db70bb4","1","No"
"0x008ee6a09fac71421abf2b9ca5256ceb89be9006","200","No"
"0x00901507689fcc2535823e81f62b8a2a754b34cb","100","No"
"0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786","228.561847860156","No"
"0x009230127681d7e0e185d03addb45d7aa4f313f8","100","No"
"0x0092e420b330dae7bc68621f8e94515194115be6","38.186183","No"
"0x00933a786ee4d5d4592c0d1cf20b633c6a537f5f","200","No"
"0x0093e5f2a850268c0ca3093c7ea53731296487eb","1.19609983279E-07","No"
"0x0094977cd8fcffac576b5f02414833cd5f7ebe52","2.56963568073E-07","No"
"0x0094dd4a1abd19e55c28c3489845ad7539d8e80c","6E-17","No"
"0x00959c7006721fae05be25ed17295db03c591298","100","No"
"0x00979a08541e6c3fa86779db1c6e206977ad6e66","186.858584108973","No"
"0x0098ab53090d484cabe0d734e63d84a9e0121368","200","No"
"0x009b66c179e48e6fd0a218d49228b02e98f42d67","200","No"
"0x009c07cc41a358176c97b525284d50f4960bc939","581.886128642544","No"
"0x009dd6c7ef896d6374d64ef4223e5c0e0735a756","100","No"
"0x009f88a82bb63602c1bebfb857bd2e3c98e62f2d","19.3259075942366","No"
"0x00a1b616a61227c00923a845700a16e095348b14","200","No"
"0x00a2291b319f194d2aca901572ee5389b9e372e2","11.2816012576075","No"
"0x00a2ddfa736214563cea9aef5100f2e90c402918","1000","No"
"0x00a329eebf3d5d4221e8c1d7c16e4d2d621b95a5","100.00582259","No"
"0x00a46d8a3c0a8a9c26a63c8c62ae555e157ff4d2","100","No"
